[2024-11-20T21:38:49.457492+00:00] auth.INFO: User: tarfouss | Status: success | IP: 192.168.16.4 | Time: 2024-11-20 21:38:49 [] []
[2024-11-23T23:30:58.138720+00:00] auth.INFO: User: asdf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:30:58 [] []
[2024-11-23T23:32:08.176467+00:00] auth.INFO: User: sfsafsf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:32:08 [] []
[2024-11-23T23:32:53.433422+00:00] auth.INFO: User: afasfasfsafa | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:32:53 [] []
[2024-11-23T23:33:29.491500+00:00] auth.INFO: User: fasfasfasf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:33:29 [] []
[2024-11-23T23:33:36.578213+00:00] auth.INFO: User: asfsaf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:33:36 [] []
[2024-11-23T23:35:20.754695+00:00] auth.INFO: User: asfsaf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:35:20 [] []
[2024-11-23T23:37:25.897329+00:00] auth.INFO: User: asdasd | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:37:25 [] []
[2024-11-23T23:39:51.225353+00:00] auth.INFO: User: asdasd | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:39:51 [] []
[2024-11-23T23:41:48.926424+00:00] auth.INFO: User: sdfsdfsdfsdfsdf | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:41:48 [] []
[2024-11-23T23:45:18.675067+00:00] auth.INFO: User: asdsadasdsa | Status: failure (invalid username) | IP: 192.168.16.4 | Time: 2024-11-23 23:45:18 [] []
[2024-11-24T00:04:52.017558+00:00] auth.INFO: User: tarfouss | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 00:04:52 [] []
[2024-11-24T00:21:24.726859+00:00] auth.INFO: User: tarfouss | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 00:21:24 [] []
[2024-11-24T00:24:23.462421+00:00] auth.INFO: User: tarfouss | Status: failure (invalid password) | IP: 192.168.16.4 | Time: 2024-11-24 00:24:23 [] []
[2024-11-24T00:25:06.422485+00:00] auth.INFO: User: tarfouss | Status: failure (invalid password) | IP: 192.168.16.4 | Time: 2024-11-24 00:25:06 [] []
[2024-11-24T00:47:39.505549+00:00] auth.INFO: User: asdasdasdas | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 00:47:39 [] []
[2024-11-24T00:52:06.255721+00:00] auth.INFO: User: tarfouss | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 00:52:06 [] []
[2024-11-24T00:52:12.452762+00:00] auth.INFO: User: tarfouss | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 00:52:12 [] []
[2024-11-24T00:52:59.879812+00:00] auth.INFO: User: tarfouss | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 00:52:59 [] []
[2024-11-24T00:56:25.699888+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 00:56:25 [] []
[2024-11-24T01:46:13.177163+00:00] auth.INFO: User: tarfouss3 | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 01:46:13 [] []
[2024-11-24T01:46:18.046087+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 01:46:18 [] []
[2024-11-24T01:47:17.674516+00:00] auth.INFO: User: tarfouss3 | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 01:47:17 [] []
[2024-11-24T01:47:20.508915+00:00] auth.INFO: User: asd | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 01:47:20 [] []
[2024-11-24T01:48:38.368548+00:00] auth.INFO: User: asdasd | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 01:48:38 [] []
[2024-11-24T01:48:48.641731+00:00] auth.INFO: User: asfsaffa | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 01:48:48 [] []
[2024-11-24T01:48:51.342398+00:00] auth.INFO: User: fasfsaf | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 01:48:51 [] []
[2024-11-24T01:49:38.985317+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 01:49:38 [] []
[2024-11-24T01:52:39.919945+00:00] auth.INFO: User: tarfouss3 | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 01:52:39 [] []
[2024-11-24T01:53:17.979527+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 01:53:17 [] []
[2024-11-24T11:22:30.844460+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 11:22:30 [] []
[2024-11-24T11:26:58.105123+00:00] auth.INFO: User: tarfouss3 | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 11:26:58 [] []
[2024-11-24T11:27:03.249345+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 11:27:03 [] []
[2024-11-24T11:38:56.078931+00:00] auth.INFO: User: tarfouss3 | Status: logout | IP: 192.168.16.4 | Time: 2024-11-24 11:38:56 [] []
[2024-11-24T11:44:03.721624+00:00] auth.INFO: User: asd | Status: failure | IP: 192.168.16.4 | Time: 2024-11-24 11:44:03 [] []
[2024-11-24T11:44:10.127533+00:00] auth.INFO: User: tarfouss3 | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 11:44:10 [] []
[2024-11-24T16:44:19.522670+00:00] auth.INFO: User: tarfouss | Status: success | IP: 192.168.16.4 | Time: 2024-11-24 16:44:19 [] []
[2024-11-25T12:16:25.297204+00:00] auth.INFO: User: tarfouss | Status: success | IP: 192.168.16.4 | Time: 2024-11-25 12:16:25 [] []
